x,y,yaw,v
5.526199,-0.183742,-0.062425,2.012035
5.526199,-0.183742,-0.062425,2.012035
5.546273,-0.185066,-0.062989,2.011464
5.546273,-0.185066,-0.062989,2.011464
5.546273,-0.185066,-0.062989,2.011464
5.566345,-0.18633,-0.062792,2.011001
5.586415,-0.187569,-0.062423,2.010626
5.586415,-0.187569,-0.062423,2.010626
5.606485,-0.188761,-0.061682,2.010323
5.606485,-0.188761,-0.061682,2.010323
5.626552,-0.189939,-0.060996,2.010077
5.626552,-0.189939,-0.060996,2.010077
5.626552,-0.189939,-0.060996,2.010077
5.64662,-0.191078,-0.06007,2.009878
5.64662,-0.191078,-0.06007,2.009878
5.666686,-0.192206,-0.059276,2.009717
5.666686,-0.192206,-0.059276,2.009717
5.666686,-0.192206,-0.059276,2.009717
5.686751,-0.193298,-0.058285,2.009153
5.686751,-0.193298,-0.058285,2.009153
5.706811,-0.194382,-0.057452,2.008697
5.706811,-0.194382,-0.057452,2.008697
5.726868,-0.195432,-0.056438,2.008327
5.726868,-0.195432,-0.056438,2.008327
5.746923,-0.196474,-0.055592,2.008028
5.746923,-0.196474,-0.055592,2.008028
5.746923,-0.196474,-0.055592,2.008028
5.766977,-0.197483,-0.05457,2.007786
5.766977,-0.197483,-0.05457,2.007786
5.787029,-0.198485,-0.053718,2.00759
5.787029,-0.198485,-0.053718,2.00759
5.80708,-0.199455,-0.052694,2.007431
5.80708,-0.199455,-0.052694,2.007431
5.827131,-0.200418,-0.051841,2.007302
5.847182,-0.201349,-0.050815,2.007198
5.847182,-0.201349,-0.050815,2.007198
5.867232,-0.202274,-0.049961,2.007113
5.887283,-0.203166,-0.048935,2.007045
5.887283,-0.203166,-0.048935,2.007045
5.90733,-0.204053,-0.04808,2.006375
5.927373,-0.204907,-0.047053,2.005832
5.927373,-0.204907,-0.047053,2.005832
5.947411,-0.205755,-0.046199,2.005393
5.947411,-0.205755,-0.046199,2.005393
5.967447,-0.206571,-0.045172,2.005037
5.987479,-0.207381,-0.044317,2.004749
5.987479,-0.207381,-0.044317,2.004749
5.987479,-0.207381,-0.044317,2.004749
6.007511,-0.208158,-0.043291,2.004516
6.007511,-0.208158,-0.043291,2.004516
6.02754,-0.208931,-0.042437,2.004327
6.02754,-0.208931,-0.042437,2.004327
6.047569,-0.20967,-0.041411,2.004174
6.047569,-0.20967,-0.041411,2.004174
6.067597,-0.210405,-0.040558,2.00405
6.067597,-0.210405,-0.040558,2.00405
6.067597,-0.210405,-0.040558,2.00405
6.087624,-0.211106,-0.039532,2.003949
6.087624,-0.211106,-0.039532,2.003949
6.107648,-0.211803,-0.038679,2.003193
6.107648,-0.211803,-0.038679,2.003193
6.107648,-0.211803,-0.038679,2.003193
6.127666,-0.212467,-0.037652,2.002581
6.127666,-0.212467,-0.037652,2.002581
6.147677,-0.21315,-0.037092,2.002085
6.147677,-0.21315,-0.037092,2.002085
6.167682,-0.213895,-0.037292,2.001683
6.187683,-0.214664,-0.037661,2.001358
6.187683,-0.214664,-0.037661,2.001358
6.187683,-0.214664,-0.037661,2.001358
6.207678,-0.215479,-0.038401,2.001094
6.227671,-0.216309,-0.039085,2.000881
6.24766,-0.217177,-0.040009,2.000708
6.24766,-0.217177,-0.040009,2.000708
6.267644,-0.218055,-0.0408,1.999837
6.267644,-0.218055,-0.0408,1.999837
6.287618,-0.218969,-0.041788,1.999131
6.287618,-0.218969,-0.041788,1.999131
6.307585,-0.219891,-0.042617,1.99856
6.327545,-0.220846,-0.043627,1.998097
6.327545,-0.220846,-0.043627,1.998097
6.347501,-0.221808,-0.04447,1.997723
6.347501,-0.221808,-0.04447,1.997723
6.367452,-0.222803,-0.045488,1.997419
6.3874,-0.223804,-0.046335,1.997173
6.3874,-0.223804,-0.046335,1.997173
6.407344,-0.224837,-0.047355,1.996974
6.407344,-0.224837,-0.047355,1.996974
6.427286,-0.225876,-0.048204,1.996813
6.427286,-0.225876,-0.048204,1.996813
6.427286,-0.225876,-0.048204,1.996813
6.447224,-0.226948,-0.049225,1.996683
6.447224,-0.226948,-0.049225,1.996683
6.467162,-0.228025,-0.050075,1.996577
6.487096,-0.229135,-0.051096,1.996492
6.487096,-0.229135,-0.051096,1.996492
6.507027,-0.230249,-0.051946,1.995912
6.507027,-0.230249,-0.051946,1.995912
6.526951,-0.231396,-0.052968,1.995443
6.526951,-0.231396,-0.052968,1.995443
6.54687,-0.232547,-0.053818,1.995063
6.54687,-0.232547,-0.053818,1.995063
6.566784,-0.233731,-0.05484,1.994756
6.566784,-0.233731,-0.05484,1.994756
6.586695,-0.234919,-0.05569,1.994506
6.586695,-0.234919,-0.05569,1.994506
6.606602,-0.23614,-0.056712,1.994305
6.606602,-0.23614,-0.056712,1.994305
6.606602,-0.23614,-0.056712,1.994305
6.626506,-0.237366,-0.057561,1.994141
6.646407,-0.238624,-0.058582,1.994009
6.646407,-0.238624,-0.058582,1.994009
6.646407,-0.238624,-0.058582,1.994009
6.666307,-0.239886,-0.059432,1.993902
6.666307,-0.239886,-0.059432,1.993902
6.686203,-0.241181,-0.060453,1.993815
6.686203,-0.241181,-0.060453,1.993815
